nom_machine;version
PC-David;Bitdefender Total Security 27.0.54.271
PC-David;Bitdefender Agent 27.1.1.25
PC-David;Cisco Packet Tracer 8.2.2 64Bit 8.2.2.400
PC-David;Git 2.52.0
PC-David;Greenshot 1.2.10.6 1.2.10.6
PC-David;HP Documentation 1.0.0.1
PC-David;Microsoft 365 - fr-fr 16.0.19426.20218
PC-David;Microsoft 365 Apps for enterprise - fr-fr 16.0.19426.20218
PC-David;Microsoft OneDrive 25.222.1112.0002
PC-David;Microsoft OneNote - fr-fr 16.0.19426.20218
PC-David;TeamViewer 15.73.5
PC-David;Windows SDK DirectX x64 Remote 10.1.26100.3916
PC-David;DiagnosticsHub_CollectionService 17.12.35318
PC-David;Python 3.13.3 Tcl/Tk Support (64-bit) 3.13.3150.0
PC-David;Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35208 14.44.35208
PC-David;VMware Workstation 17.6.2
PC-David;Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.60610 11.0.60610
PC-David;Universal CRT Tools x64 10.1.26100.3916
PC-David;vs_communityx64msi 17.14.36025
PC-David;Microsoft Visual C++ 2022 X64 Debug Runtime - 14.44.35112 14.44.35112
PC-David;Windows App Certification Kit Native Components 10.1.26100.3916
PC-David;Python 3.13.3 Standard Library (64-bit) 3.13.3150.0
PC-David;Node.js 24.12.0
PC-David;Raspberry Pi Imager 1.9.6
PC-David;Microsoft Visual Studio Installer 3.14.2075.50697
PC-David;Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610 11.0.60610
PC-David;Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35208 14.44.35208
PC-David;Application Verifier x64 External Package 10.1.19041.685
PC-David;Python 3.13.3 Core Interpreter (64-bit) 3.13.3150.0
PC-David;Office 16 Click-to-Run Licensing Component 16.0.19029.20208
PC-David;Office 16 Click-to-Run Extensibility Component 16.0.19426.20170
PC-David;Office 16 Click-to-Run Localization Component 16.0.19426.20170
PC-David;Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005 12.0.21005
PC-David;Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005 12.0.21005
PC-David;Microsoft Teams Meeting Add-in for Microsoft Office 1.25.28902
PC-David;CUBLAS Runtime 11.8
PC-David;CUBLAS Development 11.8
PC-David;NVIDIA CUDA Development 11.8 11.8
PC-David;NVIDIA CUDA Documentation 11.8 11.8
PC-David;CUDART Runtime 11.8
PC-David;NVIDIA CUDA Runtime 11.8 11.8
PC-David;CUDA Toolkit 11.8
PC-David;CUDA Profiler API 11.8
PC-David;${{arpDisplayName}} 11.8
PC-David;CUFFT Development 11.8
PC-David;cuobjdump 11.8
PC-David;CUPTI 11.8
PC-David;CURAND Runtime 11.8
PC-David;CURAND Development 11.8
PC-David;CUSOLVER Runtime 11.8
PC-David;CUSOLVER Development 11.8
PC-David;CUSPARSE Runtime 11.8
PC-David;CUSPARSE Development 11.8
PC-David;cuxxfilt 11.8
PC-David;Demo Suite 11.8
PC-David;NVIDIA Pilote graphique 577.03 577.03
PC-David;NVIDIA GeForce Experience 3.27.0.114 3.27.0.114
PC-David;NVIDIA Logiciel système PhysX 9.21.0713 9.21.0713
PC-David;CUDA Documentation 11.8
PC-David;NVIDIA FrameView SDK 1.3.8513.32290073 1.3.8513.32290073
PC-David;NVIDIA SHIELD Streaming 7.1.32193813
PC-David;NVIDIA GPX Common OSS binaries (POCO, OpenSSL, libprotobuf) 7.1
PC-David;NVIDIA Install Application 2.1002.427.0
PC-David;MEMCHECK 11.8
PC-David;NPP Runtime 11.8
PC-David;NPP Development 11.8
PC-David;NVIDIA CUDA Nsight NVTX 11.8 11.8
PC-David;NVIDIA Backend 39.5.0.0
PC-David;nvcc 11.8
PC-David;NVIDIA Container 1.37
PC-David;NVIDIA TelemetryApi helper for NvContainer 1.37
PC-David;NVIDIA LocalSystem Container 1.37
PC-David;NVIDIA Message Bus for NvContainer 1.34
PC-David;NVIDIA NVAPI Monitor plugin for NvContainer 1.0
PC-David;NVIDIA NetworkService Container 1.37
PC-David;NVIDIA Session Container 1.37
PC-David;NVIDIA User Container 1.37
PC-David;Disassembler 11.8
PC-David;NVJPEG Runtime 11.8
PC-David;NVJPEG Development 11.8
PC-David;NVML Development 11.8
PC-David;NVIDIA NvModuleTracker 6.14.25214.24630
PC-David;NVIDIA NodeJS 3.27.0.114
PC-David;NVIDIA Platform Controllers and Framework 528.77
PC-David;NVIDIA Watchdog Plugin for NvContainer 1.37
PC-David;CUDA Profiler Tools 11.8
PC-David;nvprune 11.8
PC-David;NVRTC Runtime 11.8
PC-David;NVRTC Development 11.8
PC-David;NVIDIA Telemetry Client 17.1.7.0
PC-David;NVTX Development 11.8
PC-David;NVIDIA Virtual Host Controller 3.04.0.1
PC-David;Occupancy Calculator 11.8
PC-David;Nvidia Share 3.27.0.114
PC-David;Compute Sanitizer 11.8
PC-David;NVIDIA ShadowPlay 3.27.0.114 3.27.0.114
PC-David;NVIDIA SHIELD Wireless Controller Driver 3.27.0.94
PC-David;CUDA CCCL 11.8
PC-David;NVIDIA Virtual Audio 4.49.0.0 4.49.0.0
PC-David;Visual Profiler 11.8
PC-David;NVIDIA CUDA Visual Studio Integration 11.8 11.8
PC-David;Python 3.13.3 pip Bootstrap (64-bit) 3.13.3150.0
PC-David;Python 3.13.3 Test Suite (64-bit) 3.13.3150.0
PC-David;EA app 13.550.0.6063
PC-David;Microsoft Update Health Tools 5.72.0.0
PC-David;Python 3.13.3 Development Libraries (64-bit) 3.13.3150.0
PC-David;Microsoft GameInput 10.1.26100.6879
PC-David;VS Script Debugging Common 17.0.157.0
PC-David;Python 3.13.3 Executables (64-bit) 3.13.3150.0
PC-David;Epic Games Launcher Prerequisites (x64) 1.0.0.0
PC-David;Python 3.13.3 Documentation (64-bit) 3.13.3150.0
PC-David;Visual Studio Build Tools 2022 17.14.2
PC-David;Adobe Flash Player 11 Plugin 11.2.202.233
PC-David;Google Chrome 143.0.7499.170
PC-David;Microsoft Edge 143.0.3650.96
PC-David;Microsoft Edge WebView2 Runtime 143.0.3650.96
PC-David;WinSCP 6.5.3 6.5.3
PC-David;Wireshark 4.4.5 x64 4.4.5
PC-David;Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.28.29913 14.28.29913.0
PC-David;Universal CRT Redistributable 10.0.26624
